대학명,건물명,강의실특성,호수,수용인원,예약현황,가격,마이크 유/무,프로젝터 유/무,위도,경도
중앙대학교,경영경제관,일반 강의실,819,80,유,3000,유,유,37.503608,126.9564299
중앙대학교,경영경제관,일반 강의실,818,100,유,5000,유,유,37.503608,126.9564299
중앙대학교,경영경제관,일반 강의실,920,100,무,5000,유,유,37.503608,126.9564299
중앙대학교,경영경제관,일반 강의실,921,80,유,3000,유,유,37.503608,126.9564299
중앙대학교,경영경제관,대형 강의실,B502,200,유,10000,유,유,37.503608,126.9564299
중앙대학교,경영경제관,대형 강의실,B503,300,유,10000,유,유,37.503608,126.9564299
중앙대학교,법학관,일반 강의실,404,100,무,0,유,유,37.5046804,126.9557915
중앙대학교,법학관,일반 강의실,405,100,무,0,유,유,37.5046804,126.9557915
중앙대학교,법학관,일반 강의실,905,60,무,0,유,유,37.5046804,126.9557915
중앙대학교,법학관,일반 강의실,802,100,유,0,유,유,37.5046804,126.9557915
중앙대학교,제2차 기숙사,일반 강의실,104,80,무,3000,유,유,37.5026675,126.9564406
중앙대학교,제2차 기숙사,일반 강의실,103,80,유,3000,유,유,37.5026675,126.9564406
중앙대학교,R&D센터,일반 강의실,401,80,유,3000,유,유,37.504147,126.956954
중앙대학교,R&D센터,일반 강의실,807,100,무,5000,유,유,37.504147,127.956954
중앙대학교,R&D센터,일반 강의실,405,80,유,3000,유,유,37.504147,127.956954
중앙대학교,R&D센터,대형 강의실,314,300,무,10000,유,유,37.504147,127.956954
중앙대학교,아트센터,일반 강의실,B103,60,무,0,유,유,37.50532,126.95439
중앙대학교,아트센터,일반 강의실,B213,30,무,0,유,유,37.50532,126.95439
중앙대학교,서라벌홀,일반 강의실,511,60,무,0,유,유,37.504681,126.956668
덕성여자대학교,차미리사관,강의동,139,80,유,0,유,유,37.6531302,127.0161259
덕성여자대학교,차미리사관,강의동,138,80,무,0,유,유,37.6531302,127.0161259
덕성여자대학교,차미리사관,강의동,444,60,유,0,유,유,37.6531302,127.0161259
덕성여자대학교,차미리사관,강의동,441,60,무,0,유,유,37.6531302,127.0161259
덕성여자대학교,차미리사관,강의동,122,90,무,0,유,유,37.6531302,127.0161259
덕성여자대학교,차미리사관,강의동,121,90,유,0,유,유,37.6531302,127.0161259
덕성여자대학교,라온센터,요가실,102,30,유,0,무,무,37.6511553,127.0185077
덕성여자대학교,라온센터,체육실,8,30,무,0,유,무,37.6511553,127.0185077
덕성여자대학교,라온센터,헬스실,10,20,무,0,무,무,37.6511553,127.0185077
덕성여자대학교,대강의실,대강의동,106,100,유,0,유,유,37.6537078,127.0155627
덕성여자대학교,대강의실,대강의동,202,150,유,0,유,유,37.6537078,127.0155627
덕성여자대학교,대강의실,대강의동,201,150,유,0,유,유,37.6537078,127.0155627
덕성여자대학교,대강의실,대강의동,108,120,무,0,유,유,37.6537078,127.0155627
덕성여자대학교,대강의실,대강의동,109,120,무,0,유,유,37.6537078,127.0155627
덕성여자대학교,자연관B,강의동,205,50,무,0,유,유,37.6519665,127.0155627
덕성여자대학교,자연관B,강의동,206,60,무,0,유,유,37.6519665,127.0155627
덕성여자대학교,자연관C,강의동,210,70,유,0,유,유,37.6519665,127.0155627
덕성여자대학교,자연관C,강의동,220,50,유,0,유,유,37.6519665,127.0155627
덕성여자대학교,자연관C,강의동,222,60,무,0,유,유,37.6519665,127.0155627
덕성여자대학교,자연관A,강의동,105,60,유,0,유,유,37.6519665,127.0155627
덕성여자대학교,자연관A,강의동,104,60,무,0,유,유,37.6519665,127.0155627
이화여자대학교,"이화,신세계관",강의실,101,210,무,0,유,유,37.56155144,126.9424512
이화여자대학교,"이화,신세계관",강의실,204,78,유,0,유,유,37.56155144,126.9424512
이화여자대학교,"이화,신세계관",강의실,205,112,유,0,유,유,37.56155144,126.9424512
이화여자대학교,"이화,신세계관",강의실,209,78,유,0,유,유,37.56155144,126.9424512
이화여자대학교,"이화,신세계관",강의실,211,73,무,0,유,유,37.56155144,126.9424512
이화여자대학교,"이화,신세계관",강의실,212,73,무,0,유,유,37.56155144,126.9424512
이화여자대학교,법학관,강의실,103,54,무,0,유,유,37.56267404,126.9493176
이화여자대학교,법학관,강의실,203,75,유,0,유,유,37.56267404,126.9493176
이화여자대학교,법학관,강의실,204,36,유,0,유,유,37.56267404,126.9493176
이화여자대학교,법학관,모의법정,405,70,유,0,유,유,37.56267404,126.9493176
이화여자대학교,"이화,포스코관",강의실 ,151,68,유,0,유,유,37.56351604,126.94707
이화여자대학교,"이화,포스코관",강의실 ,153,125,유,0,유,유,37.56351604,126.94707
이화여자대학교,"이화,포스코관",강의실 ,161,90,무,0,유,유,37.56351604,126.94707
이화여자대학교,"이화,포스코관",강의실 ,252,125,무,0,유,유,37.56351604,126.94707
이화여자대학교,"이화,포스코관",강의실 ,253,125,무,0,유,유,37.56351604,126.94707
이화여자대학교,"이화,포스코관",강의실 ,259,50,유,0,유,유,37.56351604,126.94707
이화여자대학교,"이화,포스코관",강의실 ,260,50,무,0,유,유,37.56351604,126.94707
이화여자대학교,"이화,포스코관",강의실 ,356,50,무,0,유,유,37.56351604,126.94707
이화여자대학교,"이화,포스코관",강의실 ,357,50,유,0,유,유,37.56351604,126.94707
이화여자대학교,인문관,대회의실,111,92,무,0,유,유,37.56428144,126.9457342
가톨릭대학교,다솔관,강의실,D301,60,무,50000,유,유,37.485514,126.801211
가톨릭대학교,니콜스관,강의실,N405,100,무,70000,유,유,37.485903,126.802322
가톨릭대학교,니콜스관,강의실,N110,100,무,70000,유,유,37.485903,126.802322
가톨릭대학교,니콜스관,강의실,N411,80,무,50000,유,유,37.485903,126.802322
가톨릭대학교,니콜스관,강의실,N209,80,무,50000,유,유,37.485903,126.802322
가톨릭대학교,다솔관,강의실,D236,30,유,30000,무,유,37.485514,126.801211
가톨릭대학교,마리아관,강의실,M411,80,무,50000,유,유,37.486292,126.802794
가톨릭대학교,밤비노관,강의실,BA102,40,유,30000,무,유,37.486488,126.801678
가톨릭대학교,국제관,강의실,IH360,120,무,500000,유,유,37.486488,126.801678
가톨릭대학교,다솔관,강의실,D411,100,무,120000,유,유,37.485514,126.801211
가톨릭대학교,니콜스관,강의실,N310,80,무,70000,유,유,37.485903,126.802322
가톨릭대학교,니콜스관,강의실,N410,80,무,70000,유,유,37.485903,126.802322
가톨릭대학교,마리아관,강의실,M409,80,무,70000,유,유,37.486292,126.802794
가톨릭대학교,마리아관,강의실,M308,80,무,70000,유,유,37.486292,126.802794
가톨릭대학교,니콜스관,강의실,N210,60,무,50000,유,유,37.485903,126.802322
가톨릭대학교,니콜스관,강의실,N211,60,유,50000,유,유,37.485903,126.802322
가톨릭대학교,국제관,강의실,IH235,40,유,50000,유 ,ㅇ,37.486488,126.801678
가톨릭대학교,국제관,강의실,IH213,40,무,50000,유,유,37.486488,126.801678
가톨릭대학교,다솔관,강의실,D401,100,무,70000,유,유,37.485514,126.801211
가톨릭대학교,국제관,강의실,IH314,40,무 ,30000,유,유,37.486488,126.801678
,,,,,,,,,,
